174 : loss--0.088415 train_acc--0.985507  val/test_acc--0.529412
175 : loss--0.084328 train_acc--0.985507  val/test_acc--0.529412
176 : loss--0.090025 train_acc--0.981884  val/test_acc--0.558824
177 : loss--0.068849 train_acc--0.985507  val/test_acc--0.529412
178 : loss--0.132834 train_acc--0.981884  val/test_acc--0.470588
179 : loss--0.070950 train_acc--0.981884  val/test_acc--0.588235
180 : loss--0.069635 train_acc--0.985507  val/test_acc--0.529412
181 : loss--0.110673 train_acc--0.981884  val/test_acc--0.529412
182 : loss--0.099303 train_acc--0.981884  val/test_acc--0.558824
183 : loss--0.088419 train_acc--0.974638  val/test_acc--0.529412
184 : loss--0.113152 train_acc--0.981884  val/test_acc--0.588235
185 : loss--0.097153 train_acc--0.985507  val/test_acc--0.617647
186 : loss--0.085624 train_acc--0.985507  val/test_acc--0.558824
187 : loss--0.077312 train_acc--0.989130  val/test_acc--0.558824
188 : loss--0.089548 train_acc--0.985507  val/test_acc--0.500000
189 : loss--0.112666 train_acc--0.985507  val/test_acc--0.617647
190 : loss--0.093901 train_acc--0.985507  val/test_acc--0.558824
191 : loss--0.109535 train_acc--0.985507  val/test_acc--0.500000
192 : loss--0.130590 train_acc--0.985507  val/test_acc--0.529412
193 : loss--0.100392 train_acc--0.945652  val/test_acc--0.558824
194 : loss--0.114199 train_acc--0.971014  val/test_acc--0.617647
195 : loss--0.100537 train_acc--0.978261  val/test_acc--0.617647
196 : loss--0.075219 train_acc--0.989130  val/test_acc--0.529412
197 : loss--0.082645 train_acc--0.985507  val/test_acc--0.470588
198 : loss--0.093058 train_acc--0.981884  val/test_acc--0.470588
199 : loss--0.079650 train_acc--0.985507  val/test_acc--0.558824
200 : loss--0.062759 train_acc--0.989130  val/test_acc--0.500000
