167 : loss--0.087111 train_acc--0.993377  val/test_acc--0.833333
168 : loss--0.081823 train_acc--1.000000  val/test_acc--0.888889
169 : loss--0.072209 train_acc--1.000000  val/test_acc--0.888889
170 : loss--0.064863 train_acc--1.000000  val/test_acc--0.888889
171 : loss--0.071458 train_acc--1.000000  val/test_acc--0.777778
172 : loss--0.075045 train_acc--1.000000  val/test_acc--0.888889
173 : loss--0.075783 train_acc--1.000000  val/test_acc--0.888889
174 : loss--0.076545 train_acc--1.000000  val/test_acc--0.888889
175 : loss--0.074040 train_acc--1.000000  val/test_acc--0.888889
176 : loss--0.067402 train_acc--1.000000  val/test_acc--0.888889
177 : loss--0.061991 train_acc--1.000000  val/test_acc--0.888889
178 : loss--0.074042 train_acc--0.986755  val/test_acc--0.888889
179 : loss--0.088163 train_acc--1.000000  val/test_acc--0.888889
180 : loss--0.074343 train_acc--1.000000  val/test_acc--0.888889
181 : loss--0.064447 train_acc--1.000000  val/test_acc--0.888889
182 : loss--0.066514 train_acc--1.000000  val/test_acc--0.833333
183 : loss--0.073600 train_acc--1.000000  val/test_acc--0.888889
184 : loss--0.073475 train_acc--1.000000  val/test_acc--0.888889
185 : loss--0.073530 train_acc--1.000000  val/test_acc--0.888889
186 : loss--0.068847 train_acc--1.000000  val/test_acc--0.888889
187 : loss--0.071473 train_acc--1.000000  val/test_acc--0.888889
188 : loss--0.069276 train_acc--1.000000  val/test_acc--0.888889
189 : loss--0.061771 train_acc--1.000000  val/test_acc--0.888889
190 : loss--0.082440 train_acc--1.000000  val/test_acc--0.888889
191 : loss--0.052651 train_acc--1.000000  val/test_acc--0.888889
192 : loss--0.074112 train_acc--1.000000  val/test_acc--0.833333
193 : loss--0.059762 train_acc--1.000000  val/test_acc--0.888889
194 : loss--0.067752 train_acc--1.000000  val/test_acc--0.888889
195 : loss--0.070997 train_acc--1.000000  val/test_acc--0.888889
196 : loss--0.066221 train_acc--1.000000  val/test_acc--0.888889
197 : loss--0.062794 train_acc--1.000000  val/test_acc--0.888889
198 : loss--0.075893 train_acc--1.000000  val/test_acc--0.888889
199 : loss--0.064700 train_acc--1.000000  val/test_acc--0.888889
200 : loss--0.065148 train_acc--1.000000  val/test_acc--0.888889
201 : loss--0.071246 train_acc--1.000000  val/test_acc--0.833333
202 : loss--0.052516 train_acc--1.000000  val/test_acc--0.888889
203 : loss--0.073791 train_acc--1.000000  val/test_acc--0.888889
204 : loss--0.061443 train_acc--1.000000  val/test_acc--0.888889
205 : loss--0.068618 train_acc--1.000000  val/test_acc--0.888889
206 : loss--0.070828 train_acc--1.000000  val/test_acc--0.888889
207 : loss--0.060103 train_acc--1.000000  val/test_acc--0.888889
208 : loss--0.067714 train_acc--1.000000  val/test_acc--0.888889
209 : loss--0.053045 train_acc--1.000000  val/test_acc--0.888889
210 : loss--0.061219 train_acc--1.000000  val/test_acc--0.888889
211 : loss--0.062169 train_acc--1.000000  val/test_acc--0.888889
212 : loss--0.063948 train_acc--1.000000  val/test_acc--0.888889
213 : loss--0.061743 train_acc--1.000000  val/test_acc--0.888889
214 : loss--0.060069 train_acc--1.000000  val/test_acc--0.888889
215 : loss--0.071247 train_acc--1.000000  val/test_acc--0.888889
216 : loss--0.064098 train_acc--1.000000  val/test_acc--0.888889
217 : loss--0.057291 train_acc--1.000000  val/test_acc--0.888889
218 : loss--0.067370 train_acc--1.000000  val/test_acc--0.888889
219 : loss--0.062903 train_acc--1.000000  val/test_acc--0.888889
220 : loss--0.058830 train_acc--1.000000  val/test_acc--0.888889
221 : loss--0.056193 train_acc--1.000000  val/test_acc--0.888889
222 : loss--0.070271 train_acc--1.000000  val/test_acc--0.888889
223 : loss--0.077363 train_acc--1.000000  val/test_acc--0.888889
224 : loss--0.065154 train_acc--1.000000  val/test_acc--0.888889
225 : loss--0.059994 train_acc--1.000000  val/test_acc--0.888889
226 : loss--0.061631 train_acc--0.993377  val/test_acc--0.888889
227 : loss--0.054256 train_acc--1.000000  val/test_acc--0.888889
228 : loss--0.058259 train_acc--1.000000  val/test_acc--0.777778
229 : loss--0.057189 train_acc--1.000000  val/test_acc--0.888889
230 : loss--0.067386 train_acc--1.000000  val/test_acc--0.888889
231 : loss--0.060554 train_acc--1.000000  val/test_acc--0.888889
232 : loss--0.065840 train_acc--1.000000  val/test_acc--0.888889
233 : loss--0.072149 train_acc--0.993377  val/test_acc--0.833333
234 : loss--0.068536 train_acc--1.000000  val/test_acc--0.888889
235 : loss--0.068184 train_acc--1.000000  val/test_acc--0.888889
236 : loss--0.069214 train_acc--1.000000  val/test_acc--0.888889
237 : loss--0.057801 train_acc--1.000000  val/test_acc--0.888889
238 : loss--0.059823 train_acc--1.000000  val/test_acc--0.888889
239 : loss--0.056714 train_acc--1.000000  val/test_acc--0.888889
240 : loss--0.064701 train_acc--1.000000  val/test_acc--0.833333
241 : loss--0.064696 train_acc--1.000000  val/test_acc--0.888889
242 : loss--0.074349 train_acc--1.000000  val/test_acc--0.888889
243 : loss--0.081902 train_acc--1.000000  val/test_acc--0.888889
244 : loss--0.060451 train_acc--1.000000  val/test_acc--0.888889
245 : loss--0.058585 train_acc--1.000000  val/test_acc--0.888889
246 : loss--0.068248 train_acc--1.000000  val/test_acc--0.888889
247 : loss--0.063006 train_acc--1.000000  val/test_acc--0.888889
248 : loss--0.062361 train_acc--1.000000  val/test_acc--0.888889
249 : loss--0.068244 train_acc--1.000000  val/test_acc--0.888889
250 : loss--0.063183 train_acc--1.000000  val/test_acc--0.888889
251 : loss--0.057727 train_acc--1.000000  val/test_acc--0.888889
252 : loss--0.066168 train_acc--1.000000  val/test_acc--0.888889
253 : loss--0.056756 train_acc--1.000000  val/test_acc--0.888889
254 : loss--0.059958 train_acc--1.000000  val/test_acc--0.888889
255 : loss--0.077269 train_acc--1.000000  val/test_acc--0.888889
256 : loss--0.069939 train_acc--1.000000  val/test_acc--0.888889
257 : loss--0.058064 train_acc--1.000000  val/test_acc--0.888889
258 : loss--0.057477 train_acc--1.000000  val/test_acc--0.888889
259 : loss--0.048339 train_acc--1.000000  val/test_acc--0.888889
260 : loss--0.053767 train_acc--1.000000  val/test_acc--0.888889
261 : loss--0.063376 train_acc--1.000000  val/test_acc--0.888889
262 : loss--0.069594 train_acc--1.000000  val/test_acc--0.888889
263 : loss--0.060659 train_acc--1.000000  val/test_acc--0.888889
264 : loss--0.057811 train_acc--1.000000  val/test_acc--0.888889
265 : loss--0.060742 train_acc--1.000000  val/test_acc--0.888889
266 : loss--0.059405 train_acc--1.000000  val/test_acc--0.888889
267 : loss--0.047568 train_acc--1.000000  val/test_acc--0.888889
268 : loss--0.064509 train_acc--1.000000  val/test_acc--0.888889
269 : loss--0.070361 train_acc--1.000000  val/test_acc--0.888889
270 : loss--0.057108 train_acc--1.000000  val/test_acc--0.888889
271 : loss--0.057891 train_acc--1.000000  val/test_acc--0.888889
272 : loss--0.053894 train_acc--1.000000  val/test_acc--0.888889
273 : loss--0.061943 train_acc--1.000000  val/test_acc--0.888889
274 : loss--0.060038 train_acc--1.000000  val/test_acc--0.888889
275 : loss--0.051155 train_acc--1.000000  val/test_acc--0.888889
276 : loss--0.072115 train_acc--1.000000  val/test_acc--0.888889
277 : loss--0.071421 train_acc--1.000000  val/test_acc--0.888889
278 : loss--0.052468 train_acc--1.000000  val/test_acc--0.888889
279 : loss--0.066169 train_acc--1.000000  val/test_acc--0.888889
280 : loss--0.063173 train_acc--1.000000  val/test_acc--0.888889
281 : loss--0.051983 train_acc--1.000000  val/test_acc--0.888889
282 : loss--0.070061 train_acc--1.000000  val/test_acc--0.888889
283 : loss--0.059726 train_acc--1.000000  val/test_acc--0.888889
284 : loss--0.055641 train_acc--1.000000  val/test_acc--0.888889
285 : loss--0.057740 train_acc--1.000000  val/test_acc--0.888889
286 : loss--0.059522 train_acc--1.000000  val/test_acc--0.888889
287 : loss--0.052645 train_acc--1.000000  val/test_acc--0.888889
288 : loss--0.069181 train_acc--1.000000  val/test_acc--0.888889
289 : loss--0.066541 train_acc--1.000000  val/test_acc--0.888889
290 : loss--0.057878 train_acc--1.000000  val/test_acc--0.888889
291 : loss--0.062064 train_acc--1.000000  val/test_acc--0.888889
292 : loss--0.064579 train_acc--1.000000  val/test_acc--0.888889
293 : loss--0.064748 train_acc--1.000000  val/test_acc--0.888889
294 : loss--0.055179 train_acc--1.000000  val/test_acc--0.888889
295 : loss--0.054982 train_acc--1.000000  val/test_acc--0.888889
296 : loss--0.050969 train_acc--1.000000  val/test_acc--0.888889
297 : loss--0.059772 train_acc--1.000000  val/test_acc--0.888889
298 : loss--0.060367 train_acc--1.000000  val/test_acc--0.888889
299 : loss--0.066115 train_acc--1.000000  val/test_acc--0.833333
300 : loss--0.052804 train_acc--1.000000  val/test_acc--0.888889
